ensemble_id,size,positive_active_day_rate,positive_calendar_day_rate,active_days,total_return,max_dd,daily_sharpe,members
c375850268f7ce+90560d58111e56+0011595a7d28ef,3,0.684931506849315,0.1440922190201729,73,0.021113747936060134,-0.018643175463550765,0.7723147776768156,"[""c375850268f7ce"", ""90560d58111e56"", ""0011595a7d28ef""]"
ba0c5d34a6d53f+fb584438b4e117+e6da9b503cc726,3,0.6825396825396826,0.1239193083573487,63,0.01770371852428365,-0.012782454410186883,0.8537108783208042,"[""ba0c5d34a6d53f"", ""fb584438b4e117"", ""e6da9b503cc726""]"
a565c95ea659ad+c375850268f7ce+e6da9b503cc726,3,0.6818181818181818,0.12968299711815562,66,0.02502837219437737,-0.021581493261869866,1.1727254333484642,"[""a565c95ea659ad"", ""c375850268f7ce"", ""e6da9b503cc726""]"
ba0c5d34a6d53f+6afb52531f2875+0011595a7d28ef,3,0.6811594202898551,0.13544668587896252,69,0.014296624641108702,-0.018528652662610057,0.5736281493155762,"[""ba0c5d34a6d53f"", ""6afb52531f2875"", ""0011595a7d28ef""]"
ba0c5d34a6d53f+0c27ea5e60af99+0011595a7d28ef,3,0.6811594202898551,0.13544668587896252,69,0.014296624641108702,-0.018528652662610057,0.5736281493155762,"[""ba0c5d34a6d53f"", ""0c27ea5e60af99"", ""0011595a7d28ef""]"
ba0c5d34a6d53f+0011595a7d28ef+d3c6e0ebd1039b,3,0.6805555555555556,0.14121037463976946,72,0.014966774926264526,-0.0183963783723895,0.552298950757363,"[""ba0c5d34a6d53f"", ""0011595a7d28ef"", ""d3c6e0ebd1039b""]"
a565c95ea659ad+c375850268f7ce+d3c6e0ebd1039b,3,0.68,0.09798270893371758,50,0.024020327708014877,-0.026781425687555593,1.1409741521574013,"[""a565c95ea659ad"", ""c375850268f7ce"", ""d3c6e0ebd1039b""]"
90560d58111e56+0011595a7d28ef+e6da9b503cc726,3,0.6777777777777778,0.17579250720461095,90,0.016567103293141594,-0.014003750571217832,0.612621582693234,"[""90560d58111e56"", ""0011595a7d28ef"", ""e6da9b503cc726""]"
c375850268f7ce+ba0c5d34a6d53f+e6da9b503cc726,3,0.6774193548387096,0.12103746397694524,62,0.02103116018878648,-0.013530774275276047,1.0485002055136197,"[""c375850268f7ce"", ""ba0c5d34a6d53f"", ""e6da9b503cc726""]"
7b12bcd0e19b02+0011595a7d28ef+e6da9b503cc726,3,0.6764705882352942,0.1988472622478386,102,0.024321692882340873,-0.024284140350730343,0.7927652157185413,"[""7b12bcd0e19b02"", ""0011595a7d28ef"", ""e6da9b503cc726""]"
fb584438b4e117+90560d58111e56+0011595a7d28ef,3,0.6756756756756757,0.1440922190201729,74,0.017784993389917236,-0.01752898188495089,0.6407416664479202,"[""fb584438b4e117"", ""90560d58111e56"", ""0011595a7d28ef""]"
90560d58111e56+0011595a7d28ef+d3c6e0ebd1039b,3,0.6756756756756757,0.1440922190201729,74,0.015516475558309262,-0.019331782628346894,0.5461229918144781,"[""90560d58111e56"", ""0011595a7d28ef"", ""d3c6e0ebd1039b""]"
a565c95ea659ad+fb584438b4e117+e6da9b503cc726,3,0.6716417910447762,0.12968299711815562,67,0.021700718034852295,-0.018266797587414008,1.0088541472428432,"[""a565c95ea659ad"", ""fb584438b4e117"", ""e6da9b503cc726""]"
78293b292523ea+0011595a7d28ef+d3c6e0ebd1039b,3,0.6707317073170732,0.1585014409221902,82,0.016909618750710953,-0.04065696040995903,0.5515799867583682,"[""78293b292523ea"", ""0011595a7d28ef"", ""d3c6e0ebd1039b""]"
7b12bcd0e19b02+0011595a7d28ef+d3c6e0ebd1039b,3,0.6705882352941176,0.1642651296829971,85,0.02331454312901826,-0.0294732138555186,0.7629871574702641,"[""7b12bcd0e19b02"", ""0011595a7d28ef"", ""d3c6e0ebd1039b""]"
a565c95ea659ad+e6da9b503cc726,2,0.6666666666666666,0.1037463976945245,54,0.025657659897050378,-0.018323180018384844,0.9218092240955869,"[""a565c95ea659ad"", ""e6da9b503cc726""]"
c375850268f7ce+78293b292523ea+0011595a7d28ef,3,0.6666666666666666,0.14985590778097982,78,0.02246695492154549,-0.04186138912521886,0.71894815288083,"[""c375850268f7ce"", ""78293b292523ea"", ""0011595a7d28ef""]"
78293b292523ea+0011595a7d28ef,2,0.6666666666666666,0.12680115273775217,66,0.021572424231490528,-0.04737776759095802,0.49625389866852043,"[""78293b292523ea"", ""0011595a7d28ef""]"
90560d58111e56+0011595a7d28ef,2,0.6666666666666666,0.12103746397694524,63,0.01964612747664307,-0.02688106931181189,0.526172041172221,"[""90560d58111e56"", ""0011595a7d28ef""]"
78293b292523ea+6afb52531f2875+0011595a7d28ef,3,0.6666666666666666,0.1440922190201729,75,0.016199043946543146,-0.03265382201613776,0.5432877319269017,"[""78293b292523ea"", ""6afb52531f2875"", ""0011595a7d28ef""]"
78293b292523ea+0c27ea5e60af99+0011595a7d28ef,3,0.6666666666666666,0.1440922190201729,75,0.016199043946543146,-0.03265382201613776,0.5432877319269017,"[""78293b292523ea"", ""0c27ea5e60af99"", ""0011595a7d28ef""]"
c375850268f7ce+7b12bcd0e19b02+0011595a7d28ef,3,0.6625,0.15273775216138327,80,0.02892077565239859,-0.030691683455987162,0.9425967189169041,"[""c375850268f7ce"", ""7b12bcd0e19b02"", ""0011595a7d28ef""]"
7b12bcd0e19b02+6afb52531f2875+0011595a7d28ef,3,0.6623376623376623,0.14697406340057637,77,0.022613301566241528,-0.021376777165110106,0.7714814993692378,"[""7b12bcd0e19b02"", ""6afb52531f2875"", ""0011595a7d28ef""]"
7b12bcd0e19b02+0c27ea5e60af99+0011595a7d28ef,3,0.6623376623376623,0.14697406340057637,77,0.022613301566241528,-0.021376777165110106,0.7714814993692378,"[""7b12bcd0e19b02"", ""0c27ea5e60af99"", ""0011595a7d28ef""]"
90560d58111e56+6afb52531f2875+0011595a7d28ef,3,0.6619718309859155,0.13544668587896252,71,0.014856588437410112,-0.018319788290255268,0.571582106017041,"[""90560d58111e56"", ""6afb52531f2875"", ""0011595a7d28ef""]"
