config_id,segment,cost_case,trades,trade_win_rate,profit_factor,mean_return,total_return,max_drawdown,active_days,positive_active_day_rate,calendar_days_covered,positive_calendar_day_rate,active_weeks,positive_active_week_rate,active_months,positive_active_month_rate,first_exit,last_exit
78293b292523ea,full,base,186,0.4946236559139785,1.1961559245602287,0.0013499856298433857,0.25190009345164466,-0.1751936320403671,184,0.4891304347826087,2349,0.038314176245210725,146,0.5136986301369864,75,0.49333333333333335,2020-02-10T07:00:00+00:00,2026-07-16T15:00:00+00:00
78293b292523ea,pre,base,157,0.49044585987261147,1.1999244066092833,0.0014303905528617773,0.22202303721923444,-0.1751936320403671,155,0.4838709677419355,1959,0.03828483920367534,123,0.5040650406504065,63,0.47619047619047616,2020-02-10T07:00:00+00:00,2025-06-21T21:00:00+00:00
78293b292523ea,oos,base,29,0.5172413793103449,1.1691609404104875,0.0009146900121231242,0.024448848607957263,-0.05700255321275227,29,0.5172413793103449,353,0.042492917847025496,23,0.5652173913043478,12,0.5833333333333334,2025-07-29T04:00:00+00:00,2026-07-16T15:00:00+00:00
78293b292523ea,oos,stress,29,0.5172413793103449,0.9523413252060081,-0.0002853099878768755,-0.010583560008220028,-0.06457012283203778,29,0.5172413793103449,353,0.042492917847025496,23,0.5652173913043478,12,0.5833333333333334,2025-07-29T04:00:00+00:00,2026-07-16T15:00:00+00:00
7b12bcd0e19b02,full,base,172,0.45930232558139533,1.1837056054979722,0.001122673390784593,0.18809573892171216,-0.13850075561536213,171,0.4619883040935672,2349,0.033631332481907195,139,0.49640287769784175,74,0.5,2020-02-10T07:00:00+00:00,2026-07-16T15:00:00+00:00
7b12bcd0e19b02,pre,base,141,0.44680851063829785,1.1625186850483562,0.0010481125396636032,0.1378554712042548,-0.13850075561536213,140,0.45,1960,0.03214285714285714,115,0.4782608695652174,62,0.46774193548387094,2020-02-10T07:00:00+00:00,2025-06-22T23:00:00+00:00
7b12bcd0e19b02,oos,base,31,0.5161290322580645,1.3195704205526244,0.0014618050039478057,0.044153470268315065,-0.028180615862048786,31,0.5161290322580645,353,0.0453257790368272,24,0.5833333333333334,12,0.6666666666666666,2025-07-29T03:00:00+00:00,2026-07-16T15:00:00+00:00
7b12bcd0e19b02,oos,stress,31,0.5161290322580645,1.0507873400504186,0.00026180500394780605,0.00605176274139918,-0.03634825775723194,31,0.5161290322580645,353,0.0453257790368272,24,0.5,12,0.5,2025-07-29T03:00:00+00:00,2026-07-16T15:00:00+00:00
7de4db9c2df145,full,base,218,0.4908256880733945,1.169950280994665,0.0008465699574929271,0.17424008363327137,-0.10058991562407393,201,0.48756218905472637,2381,0.04115917681646367,152,0.5,73,0.5068493150684932,2020-01-10T11:15:00+00:00,2026-07-17T17:00:00+00:00
7de4db9c2df145,pre,base,178,0.4887640449438202,1.1766229077427175,0.0008893293764000159,0.14683072449126255,-0.10058991562407393,165,0.4909090909090909,1987,0.04076497232008052,126,0.5,62,0.5,2020-01-10T11:15:00+00:00,2025-06-18T19:00:00+00:00
7de4db9c2df145,oos,base,40,0.5,1.1384172024852264,0.0006562905433563817,0.023900091405527624,-0.04156002619735455,36,0.4722222222222222,351,0.04843304843304843,26,0.5,11,0.5454545454545454,2025-08-01T14:15:00+00:00,2026-07-17T17:00:00+00:00
7de4db9c2df145,oos,stress,40,0.45,0.898885167882554,-0.000543709456643618,-0.024089749193974774,-0.061534125639933435,36,0.4444444444444444,351,0.045584045584045586,26,0.5,11,0.5454545454545454,2025-08-01T14:15:00+00:00,2026-07-17T17:00:00+00:00
8f83507b062623,full,base,153,0.7058823529411765,1.5407318601646085,0.001921955825726946,0.3289143946595654,-0.056462244564074004,147,0.7006802721088435,2306,0.04466608846487424,126,0.6666666666666666,65,0.6153846153846154,2020-03-04T15:15:00+00:00,2026-06-26T06:45:00+00:00
8f83507b062623,pre,base,120,0.7333333333333333,1.70215329860684,0.002342273995736966,0.31389011159845137,-0.056462244564074004,116,0.7241379310344828,1933,0.04345576823590274,101,0.6831683168316832,55,0.6181818181818182,2020-03-04T15:15:00+00:00,2025-06-18T17:30:00+00:00
8f83507b062623,oos,base,33,0.6060606060606061,1.0904873223680833,0.00039352611659959895,0.011434961667255106,-0.03650879018103825,31,0.6129032258064516,330,0.05757575757575758,25,0.6,10,0.6,2025-08-01T14:00:00+00:00,2026-06-26T06:45:00+00:00
8f83507b062623,oos,stress,33,0.6060606060606061,0.8327404595515577,-0.0008064738834004007,-0.02784691172765985,-0.048012141145691745,31,0.5806451612903226,330,0.05454545454545454,25,0.56,10,0.4,2025-08-01T14:00:00+00:00,2026-06-26T06:45:00+00:00
90560d58111e56,full,base,223,0.4304932735426009,0.9365240642786453,-0.0003888751507477383,-0.10126665753775055,-0.3120511587422977,216,0.4351851851851852,2374,0.039595619208087615,150,0.46,73,0.5068493150684932,2020-01-06T23:30:00+00:00,2026-07-06T03:30:00+00:00
90560d58111e56,pre,base,197,0.4213197969543147,0.9119145479409645,-0.0005621811122768227,-0.12151420263914448,-0.3120511587422977,191,0.4293193717277487,2017,0.0406544372830937,130,0.45384615384615384,62,0.5,2020-01-06T23:30:00+00:00,2025-07-14T04:00:00+00:00
90560d58111e56,oos,base,26,0.5,1.2207154163961287,0.0009242507885303253,0.02304823272296619,-0.03917824732791464,25,0.48,334,0.03592814371257485,20,0.5,11,0.5454545454545454,2025-08-07T01:00:00+00:00,2026-07-06T03:30:00+00:00
