candidate_id,period,entry_time,net_return
BTCUSDT_15m_RANGE_BB_RSI_LONG,daily,2020-05-30 00:00:00+00:00,0.0024654113909511124
BTCUSDT_15m_RANGE_BB_RSI_LONG,daily,2020-05-31 00:00:00+00:00,0.0
BTCUSDT_15m_RANGE_BB_RSI_LONG,daily,2020-06-01 00:00:00+00:00,0.0
BTCUSDT_15m_RANGE_BB_RSI_LONG,daily,2020-06-02 00:00:00+00:00,0.0
BTCUSDT_15m_RANGE_BB_RSI_LONG,daily,2020-06-03 00:00:00+00:00,0.0
BTCUSDT_15m_RANGE_BB_RSI_LONG,daily,2020-06-04 00:00:00+00:00,0.0
BTCUSDT_15m_RANGE_BB_RSI_LONG,daily,2020-06-05 00:00:00+00:00,0.0
BTCUSDT_15m_RANGE_BB_RSI_LONG,daily,2020-06-06 00:00:00+00:00,0.0
BTCUSDT_15m_RANGE_BB_RSI_LONG,daily,2020-06-07 00:00:00+00:00,0.0
BTCUSDT_15m_RANGE_BB_RSI_LONG,daily,2020-06-08 00:00:00+00:00,0.0
BTCUSDT_15m_RANGE_BB_RSI_LONG,daily,2020-06-09 00:00:00+00:00,0.0
BTCUSDT_15m_RANGE_BB_RSI_LONG,daily,2020-06-10 00:00:00+00:00,0.0
BTCUSDT_15m_RANGE_BB_RSI_LONG,daily,2020-06-11 00:00:00+00:00,0.0
BTCUSDT_15m_RANGE_BB_RSI_LONG,daily,2020-06-12 00:00:00+00:00,0.0
BTCUSDT_15m_RANGE_BB_RSI_LONG,daily,2020-06-13 00:00:00+00:00,0.0
BTCUSDT_15m_RANGE_BB_RSI_LONG,daily,2020-06-14 00:00:00+00:00,0.0
BTCUSDT_15m_RANGE_BB_RSI_LONG,daily,2020-06-15 00:00:00+00:00,0.0
BTCUSDT_15m_RANGE_BB_RSI_LONG,daily,2020-06-16 00:00:00+00:00,0.0
BTCUSDT_15m_RANGE_BB_RSI_LONG,daily,2020-06-17 00:00:00+00:00,0.0
BTCUSDT_15m_RANGE_BB_RSI_LONG,daily,2020-06-18 00:00:00+00:00,0.0
BTCUSDT_15m_RANGE_BB_RSI_LONG,daily,2020-06-19 00:00:00+00:00,0.0
BTCUSDT_15m_RANGE_BB_RSI_LONG,daily,2020-06-20 00:00:00+00:00,0.0
BTCUSDT_15m_RANGE_BB_RSI_LONG,daily,2020-06-21 00:00:00+00:00,0.0
BTCUSDT_15m_RANGE_BB_RSI_LONG,daily,2020-06-22 00:00:00+00:00,0.0
BTCUSDT_15m_RANGE_BB_RSI_LONG,daily,2020-06-23 00:00:00+00:00,0.0
