config_id,period,active_periods,positive_rate,mean_return,median_return,compounded_return,best_period,worst_period
869e31fc2f22a3,monthly,11,0.45454545454545453,0.0037522102416787206,-0.00033921643228018716,0.04104586227968321,0.02647700591611235,-0.014344750815951657
09b92c89d2c16f,daily,32,0.84375,0.000288449667666061,0.001122648015340122,0.009063922417470893,0.006031274252350061,-0.010729271646028216
09b92c89d2c16f,weekly,26,0.8461538461538461,0.0003588724575030583,0.0013437022821358724,0.009063922417471337,0.006031274252350061,-0.01915057351250471
09b92c89d2c16f,monthly,11,0.7272727272727273,0.0008405946498918752,0.002950559482263415,0.009063922417471115,0.007363778846283919,-0.014871031721644501
182b451fbfd4f5,daily,19,0.5789473684210527,0.002626792622478499,0.006287817925705763,0.04989176058851674,0.01843070834264182,-0.01368248142569961
182b451fbfd4f5,weekly,18,0.6111111111111112,0.002759949387074486,0.005817532241479406,0.04989176058851674,0.01843070834264182,-0.01368248142569961
182b451fbfd4f5,monthly,11,0.5454545454545454,0.0045677982074870845,0.004299956150975559,0.04989176058851674,0.028637339458889688,-0.019910189586640925
9d72c0f1c5032c,daily,19,0.5789473684210527,0.002626792622478499,0.006287817925705763,0.04989176058851674,0.01843070834264182,-0.01368248142569961
9d72c0f1c5032c,weekly,18,0.6111111111111112,0.002759949387074486,0.005817532241479406,0.04989176058851674,0.01843070834264182,-0.01368248142569961
9d72c0f1c5032c,monthly,11,0.5454545454545454,0.0045677982074870845,0.004299956150975559,0.04989176058851674,0.028637339458889688,-0.019910189586640925
3fc2e4e146c7ed,daily,19,0.5789473684210527,0.002626792622478499,0.006287817925705763,0.04989176058851674,0.01843070834264182,-0.01368248142569961
3fc2e4e146c7ed,weekly,18,0.6111111111111112,0.002759949387074486,0.005817532241479406,0.04989176058851674,0.01843070834264182,-0.01368248142569961
3fc2e4e146c7ed,monthly,11,0.5454545454545454,0.0045677982074870845,0.004299956150975559,0.04989176058851674,0.028637339458889688,-0.019910189586640925
b09708cfd1e5df,daily,27,0.5925925925925926,0.0021103224079519808,0.002525209859812305,0.05767515840144766,0.02191467402711167,-0.009671722895707613
b09708cfd1e5df,weekly,23,0.6086956521739131,0.0024730352213664375,0.0025624440354137246,0.05767515840144788,0.019446369417073006,-0.009671722895707613
b09708cfd1e5df,monthly,12,0.6666666666666666,0.004736155490718735,0.008195152133663841,0.0576751584014481,0.022084072713486558,-0.011210060870497474
c0ae2f0db9be5a,daily,22,0.5454545454545454,0.009113984604252813,0.008495449358767893,0.21504874086436643,0.06842459567885673,-0.01531016027045995
c0ae2f0db9be5a,weekly,18,0.6111111111111112,0.011135978017935977,0.013360530369896595,0.21504874086436643,0.06842459567885673,-0.022686926527405005
c0ae2f0db9be5a,monthly,11,0.5454545454545454,0.018318865417657402,0.021226198687187114,0.21504874086436665,0.0705481912018544,-0.025004497612533316
f534b2d7dbba81,daily,29,0.6551724137931034,0.0011829127218841305,0.0053563673916290355,0.03285794152573218,0.013225554588531807,-0.03510064062370921
f534b2d7dbba81,weekly,22,0.7272727272727273,0.0016075771947366424,0.006481420738795429,0.03285794152573218,0.028405787078730205,-0.046974349194202514
f534b2d7dbba81,monthly,10,0.8,0.0034700535130669395,0.005210505765910423,0.03285794152573196,0.036520881724980914,-0.03812234566695716
fff521004d0c4b,daily,18,0.6111111111111112,0.0015435537054416188,0.001797497872766507,0.027834730229242988,0.009783007713557001,-0.007278808384419744
fff521004d0c4b,weekly,15,0.6,0.001853350786454344,0.0022793369208085057,0.02783473022924321,0.016057632984061376,-0.007278808384419744
fff521004d0c4b,monthly,11,0.5454545454545454,0.002529329918130485,0.0013156588247245082,0.02783473022924321,0.01639974379406861,-0.007278808384419744
0b968ce1afc0ce,daily,14,0.5714285714285714,0.0012330543835339777,0.002789765504712771,0.017022904757451496,0.011933778088573987,-0.009938645448517858
