time,open,high,low,close,volume
2026-07-10 13:05:00,1986.0,1986.0,1984.3,1985.0,12
2026-07-10 13:10:00,1985.0,1986.2,1985.0,1986.2,35
2026-07-10 13:15:00,1986.2,1986.2,1985.5,1985.5,54
2026-07-10 13:20:00,1985.7,1985.7,1985.1,1985.6,9
2026-07-10 13:25:00,1987.3,1988.6,1987.3,1988.6,14
2026-07-10 13:30:00,1988.7,1990.0,1988.0,1988.0,29
2026-07-10 13:35:00,1988.0,1988.5,1986.0,1986.0,21
2026-07-10 13:40:00,1986.1,1986.1,1986.1,1986.1,1
2026-07-10 13:45:00,1986.0,1986.0,1985.4,1985.8,17
2026-07-10 13:50:00,1986.1,1986.1,1985.1,1985.1,2
2026-07-10 13:55:00,1985.0,1985.0,1980.1,1980.1,19
2026-07-10 14:00:00,1980.1,1980.1,1977.6,1979.0,32
2026-07-10 14:05:00,1978.9,1979.0,1978.9,1978.9,8
2026-07-10 14:10:00,1979.2,1979.4,1976.0,1978.3,23
2026-07-10 14:15:00,1980.3,1980.3,1978.2,1978.2,10
2026-07-10 14:20:00,1977.1,1977.1,1974.1,1975.0,32
2026-07-10 14:25:00,1979.0,1979.0,1975.1,1976.8,24
2026-07-10 14:45:00,1974.4,1974.4,1974.4,1974.4,9
2026-07-13 09:00:00,1966.5,1970.2,1964.5,1964.5,51
2026-07-13 09:05:00,1965.9,1967.3,1965.9,1967.3,11
2026-07-13 09:10:00,1967.0,1968.0,1966.8,1968.0,24
2026-07-13 09:15:00,1967.0,1967.0,1963.1,1964.5,79
2026-07-13 09:20:00,1964.5,1965.0,1961.6,1965.0,92
2026-07-13 09:25:00,1965.9,1965.9,1964.7,1964.7,15
2026-07-13 09:30:00,1964.7,1964.7,1964.4,1964.6,28
2026-07-13 09:35:00,1964.6,1964.6,1964.1,1964.1,20
2026-07-13 09:40:00,1962.3,1963.5,1962.0,1962.2,80
2026-07-13 09:45:00,1961.6,1963.0,1961.3,1961.3,24
2026-07-13 09:50:00,1961.7,1962.4,1961.1,1962.0,35
2026-07-13 09:55:00,1961.0,1963.0,1960.6,1963.0,10
2026-07-13 10:00:00,1963.7,1963.7,1962.1,1962.2,27
2026-07-13 10:05:00,1962.2,1963.0,1961.2,1961.2,78
2026-07-13 10:10:00,1961.0,1961.6,1957.0,1958.0,101
2026-07-13 10:15:00,1957.5,1958.6,1957.0,1957.4,68
2026-07-13 10:20:00,1957.5,1958.3,1957.0,1957.0,40
2026-07-13 10:25:00,1956.8,1958.0,1956.5,1958.0,43
2026-07-13 10:30:00,1957.5,1958.0,1957.0,1958.0,60
2026-07-13 10:35:00,1958.0,1958.4,1957.5,1958.4,80
2026-07-13 10:40:00,1958.4,1959.9,1958.4,1959.8,23
2026-07-13 10:45:00,1960.0,1960.0,1960.0,1960.0,10
2026-07-13 10:50:00,1959.4,1959.4,1958.6,1958.6,12
2026-07-13 10:55:00,1959.1,1959.1,1958.6,1958.6,18
2026-07-13 11:00:00,1958.8,1958.8,1957.5,1957.5,41
2026-07-13 11:05:00,1957.5,1957.5,1955.0,1956.7,47
2026-07-13 11:10:00,1955.0,1955.5,1954.2,1954.2,21
2026-07-13 11:15:00,1955.5,1955.5,1954.3,1955.0,13
2026-07-13 11:20:00,1954.6,1954.6,1951.5,1952.0,88
2026-07-13 11:25:00,1953.6,1953.9,1953.0,1953.7,23
2026-07-13 13:00:00,1953.7,1954.5,1952.0,1954.5,26
2026-07-13 13:05:00,1954.0,1954.5,1954.0,1954.0,27
2026-07-13 13:10:00,1954.1,1954.1,1953.4,1953.4,12
2026-07-13 13:15:00,1954.0,1954.0,1952.0,1954.0,50
2026-07-13 13:20:00,1954.0,1954.5,1952.7,1953.0,13
2026-07-13 13:25:00,1953.0,1953.6,1952.7,1952.7,12
2026-07-13 13:30:00,1952.2,1953.2,1951.7,1951.7,39
2026-07-13 13:35:00,1953.8,1953.8,1950.5,1950.5,68
2026-07-13 13:40:00,1950.3,1950.7,1945.2,1945.7,149
2026-07-13 13:45:00,1945.7,1946.3,1939.0,1939.1,271
2026-07-13 13:50:00,1939.1,1941.6,1936.0,1939.5,107
